Generation,BestFitness
0,2884.57
1,2921.97
2,2930.62
3,2930.62
4,2942.32
5,2942.32
6,2957.20
7,2957.20
8,2986.23
9,2990.00
10,2990.00
11,2990.00
12,3009.45
13,3009.45
14,3009.45
15,3009.45
16,3009.45
17,3009.45
18,3009.45
19,3009.45
20,3009.45
21,3009.45
22,3009.45
23,3009.58
24,3009.58
25,3009.58
26,3009.58
27,3019.64
28,3019.64
29,3042.05
30,3042.05
31,3042.05
32,3044.03
33,3044.03
34,3044.03
35,3044.03
36,3044.03
37,3044.03
38,3044.03
39,3044.03
40,3044.03
41,3044.03
42,3046.01
43,3060.34
44,3060.34
45,3060.34
46,3060.34
47,3060.34
48,3060.34
49,3060.34
50,3060.34
51,3060.34
52,3060.34
53,3060.34
54,3060.34
55,3060.34
56,3060.34
57,3060.34
58,3060.34
59,3060.34
60,3060.34
61,3060.34
62,3060.34
63,3060.34
64,3060.34
65,3060.34
66,3061.40
67,3061.40
68,3061.40
69,3061.40
70,3061.40
71,3061.40
72,3061.40
73,3061.40
74,3061.40
75,3061.40
76,3061.40
77,3062.46
78,3072.28
79,3072.28
80,3072.28
81,3072.28
82,3072.28
83,3072.28
84,3072.28
85,3072.28
86,3072.28
87,3072.28
88,3072.28
89,3072.28
90,3072.28
91,3072.28
92,3072.28
93,3072.28
94,3072.28
95,3072.28
96,3072.28
97,3072.28
98,3072.28
99,3072.28
100,3073.40
101,3073.40
102,3073.40
103,3073.40
104,3073.40
105,3073.40
106,3074.54
107,3074.54
108,3074.54
109,3074.54
110,3074.54
111,3074.54
112,3074.54
113,3074.54
114,3074.54
115,3074.54
116,3074.54
117,3074.54
118,3074.54
119,3074.54
120,3074.54
121,3074.54
122,3074.54
123,3074.54
124,3074.54
125,3074.54
126,3074.54
127,3074.54
128,3074.54
129,3074.54
130,3074.54
131,3074.54
132,3074.54
133,3074.54
134,3074.54
135,3074.54
136,3074.54
137,3074.54
138,3074.54
139,3074.54
140,3076.84
141,3076.84
142,3076.84
143,3076.84
144,3076.84
145,3076.84
146,3076.84
147,3076.84
148,3076.84
149,3076.84
150,3076.84
151,3076.84
152,3076.84
153,3076.84
154,3076.84
155,3076.84
156,3076.84
157,3076.84
158,3076.84
159,3076.84
160,3076.84
161,3076.84
162,3076.84
163,3076.84
164,3076.84
165,3076.84
166,3076.84
167,3076.84
168,3076.84
169,3076.84
170,3076.84
171,3076.84
172,3076.84
173,3076.84
174,3076.84
175,3076.84
176,3076.84
177,3076.84
178,3076.84
179,3076.84
180,3076.84
181,3076.84
182,3076.84
183,3076.84
184,3076.84
185,3076.84
186,3076.84
187,3076.84
188,3076.84
189,3076.84
190,3076.84
191,3076.84
192,3076.84
193,3076.84
194,3076.84
195,3076.84
196,3076.84
197,3076.84
198,3076.84
199,3076.84
